BACKPROPAGATION LEARNING ALGORITHM
Enter the number of input units:
2
Enter the number of hidden units:
2
Enter the number of output units:
1
Enter the learning rate:
0.9
Enter the maximum number of training epochs:
10000
Enter the SSE stopping criterion:
0.001
Enter the training set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Enter the testing set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Epoch 1290:  SSE = 0.01671156049534034.
Epoch 1300:  SSE = 0.015984922309970874.
Epoch 1310:  SSE = 0.01531407160452969.
Epoch 1320:  SSE = 0.014693092326725398.
Epoch 1330:  SSE = 0.014116851652258913.
Epoch 1340:  SSE = 0.013580877540709156.
Epoch 1350:  SSE = 0.013081258110528692.
Epoch 1360:  SSE = 0.012614558508597119.
Epoch 1370:  SSE = 0.01217775188602183.
Epoch 1380:  SSE = 0.011768161809806443.
Epoch 1390:  SSE = 0.011383413993834645.
Epoch 1400:  SSE = 0.01102139566235174.
Epoch 1410:  SSE = 0.010680221194474112.
Epoch 1420:  SSE = 0.010358202961392206.
Epoch 1430:  SSE = 0.010053826475515419.
Epoch 1440:  SSE = 0.009765729135411464.
Epoch 1450:  SSE = 0.009492681981571912.
Epoch 1460:  SSE = 0.009233573983082426.
Epoch 1470:  SSE = 0.008987398459791174.
Epoch 1480:  SSE = 0.008753241312869017.
Epoch 1490:  SSE = 0.008530270792096012.
Epoch 1500:  SSE = 0.008317728573395375.
Epoch 1510:  SSE = 0.008114921957119875.
Epoch 1520:  SSE = 0.007921217027980352.
Epoch 1530:  SSE = 0.007736032642565597.
Epoch 1540:  SSE = 0.007558835131145625.
Epoch 1550:  SSE = 0.007389133617680434.
Epoch 1560:  SSE = 0.007226475876317593.
Epoch 1570:  SSE = 0.007070444654671867.
Epoch 1580:  SSE = 0.006920654404254503.
Epoch 1590:  SSE = 0.006776748366899013.
Epoch 1600:  SSE = 0.006638395973185113.
Epoch 1610:  SSE = 0.006505290514920395.
Epoch 1620:  SSE = 0.006377147058880495.
Epoch 1630:  SSE = 0.00625370057338482.
Epoch 1640:  SSE = 0.006134704243019327.
Epoch 1650:  SSE = 0.006019927950013361.
Epoch 1660:  SSE = 0.005909156903517584.
Epoch 1670:  SSE = 0.005802190400386176.
Epoch 1680:  SSE = 0.005698840703096935.
Epoch 1690:  SSE = 0.005598932022196397.
Epoch 1700:  SSE = 0.005502299592174718.
Epoch 1710:  SSE = 0.005408788830992151.
Epoch 1720:  SSE = 0.005318254574623188.
Epoch 1730:  SSE = 0.00523056037898127.
Epoch 1740:  SSE = 0.005145577882456972.
Epoch 1750:  SSE = 0.0050631862230635805.
Epoch 1760:  SSE = 0.004983271504849756.
Epoch 1770:  SSE = 0.004905726308824145.
Epoch 1780:  SSE = 0.004830449244151088.
Epoch 1790:  SSE = 0.004757344535828772.
Epoch 1800:  SSE = 0.004686321645461053.
Epoch 1810:  SSE = 0.004617294922087079.
Epoch 1820:  SSE = 0.00455018328034461.
Epoch 1830:  SSE = 0.0044849099035203744.
Epoch 1840:  SSE = 0.00442140196928611.
Epoch 1850:  SSE = 0.0043595903961377155.
Epoch 1860:  SSE = 0.004299409608748797.
Epoch 1870:  SSE = 0.004240797320624142.
Epoch 1880:  SSE = 0.0041836943325927415.
Epoch 1890:  SSE = 0.004128044345818699.
Epoch 1900:  SSE = 0.004073793788132075.
Epoch 1910:  SSE = 0.004020891652592962.
Epoch 1920:  SSE = 0.003969289347301379.
Epoch 1930:  SSE = 0.00391894055555546.
Epoch 1940:  SSE = 0.00386980110554069.
Epoch 1950:  SSE = 0.0038218288488055157.
Epoch 1960:  SSE = 0.0037749835468442886.
Epoch 1970:  SSE = 0.0037292267651671393.
Epoch 1980:  SSE = 0.003684521774290047.
Epoch 1990:  SSE = 0.0036408334571266503.
Epoch 2000:  SSE = 0.003598128222306774.
Epoch 2010:  SSE = 0.0035563739229865455.
Epoch 2020:  SSE = 0.0035155397807508397.
Epoch 2030:  SSE = 0.0034755963142414498.
Epoch 2040:  SSE = 0.0034365152721742465.
Epoch 2050:  SSE = 0.003398269570435067.
